Feature,AI Driver,Lane,Primary Provider,Model,RPM Limit,RPD Limit,TPM/TPD Limit,Cost per Call,Tokens per Call (In),Tokens per Call (Out),Free Tier Capacity,Expected Monthly Cost,User Capacity (Raw),Effective Capacity (90% reserve),Sustainable Users/Day,Fallback,Link
PEWS Parent Draft,LLM complete,REASON,Groq,openai/gpt-oss-120b,30,14400,12K TPM,$0,500,300,14400/day,$0,14400 drafts/day,12960/day,~3350 (shared REASON),Deterministic templates,server/.../pews/act/ParentDraftService.kt
PEWS Caseworker Agent,LLM agent,REASON,Groq,openai/gpt-oss-120b,30,14400,12K TPM,$0,1500,800,14400/day,$0,14400 runs/day,12960/day,~3350 (shared REASON),Rule-based intervention plan,server/.../pews/caseworker/CaseworkerService.kt
PEWS AI Narrative,LLM complete,REASON,Groq,openai/gpt-oss-120b,30,14400,12K TPM,$0,400,200,14400/day,$0,14400 narratives/day,12960/day,~3350 (shared REASON),Deterministic risk label,server/.../pews/PewsRouting.kt
Tutor Triage,LLM complete,CLASSIFY,Groq Fast,openai/gpt-oss-20b,14400,—,500K TPM,$0,200,100,500K TPM,$0,Unlimited,450K TPM,~15500 (shared CLASSIFY),Skip triage to agent,server/.../tutor/triage/TutorTriageService.kt
Tutor Agent,LLM agent,REASON,Groq,openai/gpt-oss-120b,30,14400,12K TPM,$0,1200,600,14400/day,$0,14400 doubts/day,12960/day,~3350 (shared REASON),Deterministic Socratic step,server/.../tutor/agent/TutorAgentService.kt
Tutor Practice Grading,LLM complete,CLASSIFY,Groq Fast,openai/gpt-oss-20b,14400,—,500K TPM,$0,300,150,500K TPM,$0,Unlimited,450K TPM,~15500 (shared CLASSIFY),Keyword-based grading,server/.../tutor/practice/PracticeService.kt
Report Card Rollup,Deterministic,N/A,N/A,N/A,—,—,Unlimited,$0,0,0,Unlimited,$0,Unlimited,Unlimited,Unlimited,N/A,server/.../reportcard/rollup/ReportRollupService.kt
Report Card Narrator,LLM complete,BATCH,Groq,openai/gpt-oss-120b,30,14400,12K TPM,$0,800,500,14400/day,$0,14400 reports/day,12960/day,~110000 (shared BATCH),Deterministic template report,server/.../reportcard/narrator/NarratorService.kt
Report Card Class Context,LLM complete,BATCH,Groq,openai/gpt-oss-120b,30,14400,12K TPM,$0,600,300,14400/day,$0,14400 classes/day,12960/day,~110000 (shared BATCH),Skip class context,server/.../reportcard/assemble/ReportAssemblyService.kt
Report Card Flywheel,LLM complete,BATCH,Groq,openai/gpt-oss-120b,30,14400,12K TPM,$0,500,300,14400/day,$0,14400 analyses/day,12960/day,~110000 (shared BATCH),Skip effectiveness,server/.../reportcard/learn/LearnRouting.kt
,,,Platform Bottleneck: REASON lane (Groq gpt-oss-120b),,,,,,,,Total: $0,,,~3350 concurrent active users/day (6 schools @ 530 users each),,
